Event	Date/Time	Latitude	Longitude	Elevation [m]	Diff
PG06	2012-12-22	-62.229879	-58.606324	223.7	-0.02
PG06	2013-01-05	-62.229879	-58.606324	223.7	-0.01
PG06	2013-01-15	-62.229879	-58.606324	223.7	0.06
PG06	2013-01-23	-62.229879	-58.606324	223.7	-0.33
PG06	2013-02-01	-62.229879	-58.606324	223.7	0.13
PG06	2013-02-11	-62.229879	-58.606324	223.7	-0.29
PG06	2013-02-19	-62.229879	-58.606324	223.7	0.01
PG06	2013-02-27	-62.229879	-58.606324	223.7	-0.07
PG06	2013-03-06	-62.229879	-58.606324	223.7	-0.23
PG06	2013-04-01	-62.229879	-58.606324	223.7	-0.46
PG06	2013-04-11	-62.229879	-58.606324	223.7	-0.05
PG06	2013-05-04	-62.229879	-58.606324	223.7	-0.05
PG06	2013-05-24	-62.229879	-58.606324	223.7	0.09
PG06	2013-06-25	-62.229879	-58.606324	223.7	0.53
PG06	2013-07-24	-62.229879	-58.606324	223.7	0.20
PG06	2013-08-01	-62.229879	-58.606324	223.7	0.08
PG06	2013-08-24	-62.229879	-58.606324	223.7	-0.01
PG06	2013-09-12	-62.229879	-58.606324	223.7	0.02
PG06	2013-09-27	-62.229879	-58.606324	223.7	0.06
PG06	2013-10-10	-62.229879	-58.606324	223.7	-0.03
PG06	2013-10-20	-62.229879	-58.606324	223.7	-0.02
PG06	2013-11-06	-62.229879	-58.606324	223.7	-0.05
PG06	2013-11-26	-62.229879	-58.606324	223.7	-0.09
PG06	2013-12-16	-62.229879	-58.606324	223.7	0.14
PG06	2014-01-03	-62.229879	-58.606324	223.7	0.03
PG06	2014-01-21	-62.229879	-58.606324	223.7	-0.28
PG06	2014-01-31	-62.229879	-58.606324	223.7	0.04
PG06	2014-02-10	-62.229879	-58.606324	223.7	0.24
PG06	2014-02-18	-62.229879	-58.606324	223.7	-0.28
PG06	2014-02-28	-62.229879	-58.606324	223.7	-0.08
PG06	2014-03-10	-62.229879	-58.606324	223.7	-0.15
PG06	2014-03-23	-62.229879	-58.606324	223.7	0.34
PG06	2014-04-09	-62.229879	-58.606324	223.7	-0.12
PG06	2014-04-30	-62.229879	-58.606324	223.7	-0.01
PG06	2014-05-09	-62.229879	-58.606324	223.7	0.11
PG06	2014-05-22	-62.229879	-58.606324	223.7	0.18
PG06	2014-06-05	-62.229879	-58.606324	223.7	0.35
PG06	2014-06-19	-62.229879	-58.606324	223.7	0.07
PG06	2014-07-11	-62.229879	-58.606324	223.7	0.30
PG06	2014-07-31	-62.229879	-58.606324	223.7	-0.01
PG06	2014-08-30	-62.229879	-58.606324	223.7	0.11
PG06	2014-09-10	-62.229879	-58.606324	223.7	0.02
PG06	2014-09-29	-62.229879	-58.606324	223.7	0.16
PG06	2014-10-31	-62.229879	-58.606324	223.7	0.06
PG06	2014-11-15	-62.229879	-58.606324	223.7	0.14
PG06	2014-11-30	-62.229879	-58.606324	223.7	0.07
PG06	2014-12-12	-62.229879	-58.606324	223.7	0.05
PG06	2014-12-30	-62.229879	-58.606324	223.7	-0.04
PG06	2015-01-14	-62.229879	-58.606324	223.7	-0.09
PG06	2015-01-26	-62.229879	-58.606324	223.7	-0.16
PG06	2015-02-06	-62.229879	-58.606324	223.7	-0.69
PG06	2015-03-14	-62.229879	-58.606324	223.7	-0.20
PG06	2015-03-29	-62.229879	-58.606324	223.7	-0.26
PG06	2015-04-13	-62.229879	-58.606324	223.7	-0.08
PG06	2015-05-02	-62.229879	-58.606324	223.7	0.10
PG06	2015-05-19	-62.229879	-58.606324	223.7	-0.12
PG06	2015-06-17	-62.229879	-58.606324	223.7	0.36
PG06	2015-07-13	-62.229879	-58.606324	223.7	0.06
PG06	2015-07-29	-62.229879	-58.606324	223.7	0.24
PG06	2015-08-21	-62.229879	-58.606324	223.7	0.05
PG06	2015-09-14	-62.229879	-58.606324	223.7	0.14
PG06	2015-10-08	-62.229879	-58.606324	223.7	-0.10
PG06	2015-10-27	-62.229879	-58.606324	223.7	0.08
PG06	2015-11-19	-62.229879	-58.606324	223.7	0.50
PG06	2015-12-26	-62.229879	-58.606324	223.7	-0.23
PG06	2016-01-04	-62.229879	-58.606324	223.7	-0.35
PG06	2016-02-17	-62.229879	-58.606324	223.7	-0.43
PG06	2016-02-25	-62.229879	-58.606324	223.7	0.07
PG06	2016-03-10	-62.229879	-58.606324	223.7	-0.31
PG06	2016-04-08	-62.229879	-58.606324	223.7	-0.19
PG06	2016-04-23	-62.229879	-58.606324	223.7	0.12
PG07	2010-11-22	-62.235228	-58.616384	188.6	0.92
PG07	2010-12-11	-62.235228	-58.616384	188.6	0.27
PG07	2010-12-23	-62.235228	-58.616384	188.6	-0.15
PG07	2011-01-09	-62.235228	-58.616384	188.6	-0.43
PG07	2011-01-25	-62.235228	-58.616384	188.6	0.07
PG07	2011-03-02	-62.235228	-58.616384	188.6	1.11
PG07	2011-04-06	-62.235228	-58.616384	188.6	-2.13
PG07	2011-10-15	-62.235228	-58.616384	188.6	0.47
PG07	2012-01-24	-62.235228	-58.616384	188.6	-1.26
PG07	2012-01-27	-62.235228	-58.616384	188.6	-0.11
PG07	2012-02-08	-62.235228	-58.616384	188.6	-0.29
PG07	2012-02-20	-62.235228	-58.616384	188.6	-0.10
PG07	2012-03-04	-62.235228	-58.616384	188.6	-0.28
PG07	2012-03-13	-62.235228	-58.616384	188.6	-0.15
PG07	2012-03-23	-62.235228	-58.616384	188.6	-0.06
PG07	2012-04-13	-62.235228	-58.616384	188.6	-0.15
PG07	2012-04-21	-62.235228	-58.616384	188.6	0.01
PG07	2012-05-03	-62.235228	-58.616384	188.6	0.13
PG07	2012-05-11	-62.235228	-58.616384	188.6	0.02
PG07	2012-05-21	-62.235228	-58.616384	188.6	-0.01
PG07	2012-05-30	-62.235228	-58.616384	188.6	-0.01
PG07	2012-06-12	-62.235228	-58.616384	188.6	0.19
PG07	2012-07-01	-62.235228	-58.616384	188.6	0.23
PG07	2012-07-12	-62.235228	-58.616384	188.6	0.10
PG07	2012-07-23	-62.235228	-58.616384	188.6	0.03
PG07	2012-07-27	-62.235228	-58.616384	188.6	0.06
PG07	2012-08-05	-62.235228	-58.616384	188.6	-0.05
PG07	2012-08-15	-62.235228	-58.616384	188.6	0.19
PG07	2012-08-28	-62.235228	-58.616384	188.6	-0.20
PG07	2012-09-04	-62.235228	-58.616384	188.6	0.00
PG07	2012-09-12	-62.235228	-58.616384	188.6	0.02
