Date/Time	Event	Latitude	Longitude	Elevation [m]	Diff	TTT [°C]	RH [%]	ff [m/s]	SWD [W/m**2]	LWD [W/m**2]	Precip [mm/h]	PPPP [hPa]	Clouds [octa]	t2m_an	PDD
2013-01-05	PG05	-62.22706899999999	-58.5988	247.9	0.07	-1.7776222222222227	91.31611111111111	6.1436111111111105	252.66138888888887	284.43333333333334	6.800000000000001	977.0891666666666	7.252777777777778	0.5273514232438222	0.0
2013-01-15	PG05	-62.22706899999999	-58.5988	247.9	0.0	-1.288089393939394	93.17390151515151	6.454469696969698	243.3534090909091	282.86742424242425	12.3	962.6829545454547	7.367424242424241	0.6368309565400204	1.0
2013-02-01	PG05	-62.22706899999999	-58.5988	247.9	-0.24	-0.5640342592592593	91.98527777777778	7.08747685185185	237.79722222222225	288.6087962962963	80.2	965.1645833333334	7.409722222222222	0.7987592556156016	6.0
2013-02-11	PG05	-62.22706899999999	-58.5988	247.9	-0.17	-0.1005893939393939	97.81200757575758	7.176818181818181	230.34734848484848	292.82575757575756	28.5	962.7037878787879	7.632575757575759	0.9024044549410789	5.0
2013-02-19	PG05	-62.22706899999999	-58.5988	247.9	-0.1	-1.3348444444444445	89.36055555555556	6.652314814814816	181.10601851851857	281.4953703703703	21.400000000000006	960.1092592592593	7.189814814814814	0.6263746177353515	2.0
2013-02-27	PG05	-62.22706899999999	-58.5988	247.9	-0.06	-0.34739074074074094	87.72074074074074	9.056944444444447	251.3337962962963	279.6435185185185	17.1	975.3574074074074	5.361111111111111	0.8472095942420249	3.0
2013-03-06	PG05	-62.22706899999999	-58.5988	247.9	-0.16	0.1560583333333333	90.31197916666666	11.875364583333333	218.8234375	284.359375	6.800000000000001	966.2979166666667	5.65625	0.959801368447183	5.0
2013-04-01	PG05	-62.22706899999999	-58.5988	247.9	-0.33	-0.6442271604938272	91.32930555555555	10.646697530864197	154.97793209876542	286.66820987654313	41.5	969.6112654320988	6.362654320987654	0.7808248477606166	12.0
2013-04-11	PG05	-62.22706899999999	-58.5988	247.9	-0.09	0.2883500000000001	89.91409090909093	15.788674242424246	111.19659090909092	282.8068181818182	17.700000000000003	955.8193181818184	5.378787878787878	0.9893871880058976	6.0
2013-05-04	PG05	-62.22706899999999	-58.5988	247.9	0.22	-0.4592368055555555	91.92663194444445	13.018385416666666	65.86840277777777	286.0364583333333	44.400000000000006	963.0348958333335	6.263888888888889	0.822196246271278	11.0
2013-05-24	PG05	-62.22706899999999	-58.5988	247.9	-0.01	-6.264864285714284	91.2687103174603	10.036071428571429	22.038888888888888	265.30555555555554	26.4	963.3136904761903	7.08531746031746	-0.47617916452373316	4.0
2013-06-25	PG05	-62.22706899999999	-58.5988	247.9	0.42	-6.014680303030302	90.52268939393939	8.926994949494953	9.15340909090909	257.90909090909093	142.70000000000002	957.754797979798	6.40530303030303	-0.42022780829190537	0.0
