Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB	SMB1	SMB_diff
R1	2010-11-29	2010-11-09	-62.1776204178	-58.902405662700005	82.0	20	0.4704	51.18	-0.041400000000000006
R1	2010-12-11	2010-11-29	-62.1776204178	-58.902405662700005	82.0	12	0.5161	47.04	0.045700000000000005
R1	2010-12-21	2010-12-11	-62.1776204178	-58.902405662700005	82.0	10	0.5015	51.61	-0.014600000000000009
R1	2010-12-30	2010-12-21	-62.1776204178	-58.902405662700005	82.0	9	0.39130000000000004	50.15	-0.11019999999999996
R1	2011-01-07	2010-12-30	-62.1776204178	-58.902405662700005	82.0	8	0.2192	39.13	-0.1721
R1	2011-01-15	2011-01-07	-62.1776204178	-58.902405662700005	82.0	8	0.16079999999999997	21.92	-0.058400000000000035
R1	2011-01-23	2011-01-15	-62.1776204178	-58.902405662700005	82.0	8	0.1641	16.08	0.0033000000000000186
R1	2011-01-31	2011-01-23	-62.1776204178	-58.902405662700005	82.0	8	0.0508	16.41	-0.1133
R1	2011-02-07	2011-01-31	-62.1776204178	-58.902405662700005	82.0	7	0.06269999999999999	5.08	0.011899999999999996
R1	2011-02-15	2011-02-07	-62.1776204178	-58.902405662700005	82.0	8	-0.1394	6.27	-0.2021
R1	2011-02-25	2011-02-15	-62.1776204178	-58.902405662700005	82.0	10	-0.35259999999999997	-13.94	-0.2132
R1	2011-03-14	2011-02-25	-62.1776204178	-58.902405662700005	82.0	17	-0.6766	-35.26	-0.324
R1	2011-03-22	2011-03-14	-62.1776204178	-58.902405662700005	82.0	8	-0.7395999999999999	-67.66	-0.06299999999999997
R1	2011-04-06	2011-03-22	-62.1776204178	-58.902405662700005	82.0	15	0.09	-73.96	0.8295999999999999
R1	2011-04-24	2011-04-06	-62.1776204178	-58.902405662700005	82.0	18	0.1266	9.0	0.0366
R1	2011-05-10	2011-04-24	-62.1776204178	-58.902405662700005	82.0	16	0.27399999999999997	12.66	0.14739999999999998
R1	2011-05-24	2011-05-10	-62.1776204178	-58.902405662700005	82.0	14	0.2577	27.4	-0.01629999999999999
R1	2011-06-07	2011-05-24	-62.1776204178	-58.902405662700005	82.0	14	0.20579999999999998	25.77	-0.051900000000000016
R1	2011-06-20	2011-06-07	-62.1776204178	-58.902405662700005	82.0	13	0.19219999999999998	20.58	-0.013599999999999994
R1	2011-07-05	2011-06-20	-62.1776204178	-58.902405662700005	82.0	15	0.2696	19.22	0.07740000000000002
R1	2011-07-19	2011-07-05	-62.1776204178	-58.902405662700005	82.0	14	0.3128	26.96	0.0432
