time	smb	accum	melt	MO	ronoff
1991-11-30	-0.19906818181818184	0.05025013	0.24931831345503982	0.0259633575054116	0.22335495594962823
1991-12-31	-0.17745454545454545	0.02061322	0.19806776504354043	0.010693739754150226	0.1873740252893902
1992-01-31	-0.6021363636363636	0.03566051	0.6377968726564537	0.018661138042786955	0.6191357346136668
1992-02-29	-0.4669772727272727	0.029060109	0.4960373813144185	0.015159702143867292	0.4808776791705512
1992-03-31	-0.24704545454545454	0.046398725	0.2934441799060865	0.02393122158631947	0.269512958319767
1992-04-30	-0.11636363636363635	0.058121685	0.17448532130230554	0.02999635675073545	0.1444889645515701
1992-05-31	0.26175	0.04444869	0.0	0.02199033451615351	0.0
1992-06-30	0.17517207792207792	0.035174116	0.0	0.01740689218785892	0.0
1992-07-31	0.29369090909090906	0.05590402	0.0	0.027844584885238756	0.0
1992-08-31	0.3855227272727273	0.05920391	0.0	0.03002121217989206	0.0
1992-09-30	0.1695909090909091	0.07901025	0.0	0.04054213494979252	0.0
1992-10-31	0.31713636363636355	0.10260153	0.0	0.05249456893090333	0.0
1992-11-30	-0.2919090909090909	0.01643548	0.3083445706543597	0.008508467228332348	0.29983610342602734
1992-12-31	-0.5899545454545455	0.019819396	0.6097739410711961	0.010371852215752798	0.5994020888554433
1993-01-31	-0.5489999999999999	0.032942876	0.5819428762197494	0.017211715337228026	0.5647311608825214
1993-02-28	-0.5630227272727274	0.0073397476	0.5703624748953365	0.0038485668005122315	0.5665139080948243
1993-03-31	-0.40597727272727274	0.047257356	0.4532346290729263	0.02459035515638245	0.4286442739165438
1993-04-30	-0.1702727272727273	0.06911638	0.23938910361311655	0.03575988474687791	0.20362921886623864
1993-05-31	0.17602272727272728	0.06003841	0.0	0.030803017189083192	0.0
1993-06-30	0.36789935064935064	0.06454874	0.0	0.032833636572676385	0.0
1993-07-31	0.24211363636363642	0.057220947	0.0	0.0292298654397546	0.0
1993-08-31	0.32534090909090907	0.06659379	0.0	0.033937147815776704	0.0
1993-09-30	0.3564090909090909	0.09584808	0.0	0.04881375041307881	0.0
1993-10-31	0.04256818181818183	0.04386652	0.0012983370667154007	0.02252970584008313	0.0
1993-11-30	-0.3064318181818182	0.05381417	0.36024598720127887	0.027873063229985874	0.332372923971293
1993-12-31	-0.42100000000000004	0.048758686	0.4697586855888367	0.025377106420281143	0.4443815791685556
1994-01-31	-0.5841818181818182	0.030195594	0.6143774120157416	0.015807279616598873	0.5985701323991427
1994-02-28	-0.5672727272727273	0.03334191	0.6006146379627965	0.01745081073551803	0.5831638272272784
1994-03-31	-0.5010909090909091	0.022185972	0.5232768810513345	0.011573665786078333	0.5117032152652562
1994-04-30	-0.1441590909090909	0.06658039	0.2107394833293828	0.03435153407328936	0.17638794925609344
1994-05-31	0.06345454545454544	0.031856913	0.0	0.016127311476628	0.0
1994-06-30	0.43078571428571427	0.07677099	0.0	0.03899585224042386	0.0
1994-07-31	0.3180757575757576	0.05636305	0.0	0.027461160830827693	0.0
1994-08-31	0.33140909090909093	0.080972515	0.0	0.04121558170953085	0.0
1994-09-30	0.21445454545454545	0.08951141	0.0	0.0457219317416888	0.0
1994-10-31	0.2657272727272728	0.057704214	0.0	0.02897009654470894	0.0
1994-11-30	-0.2869772727272727	0.04137485	0.3283521237454631	0.02144383887374886	0.30690828487171423
1994-12-31	-0.48670454545454545	0.006924145	0.4936286903782324	0.003604880682126818	0.4900238096961056
1995-01-31	-0.5619090909090909	0.0021540546	0.5640631454949352	0.0011312062633222124	0.562931939231613
1995-02-28	-0.5796818181818183	0.00716359	0.5868454080020841	0.0037602897100357854	0.5830851182920482
1995-03-31	-0.45484090909090913	0.06324966	0.5180905716094104	0.03290705808005245	0.48518351352935796
1995-04-30	-0.03713636363636363	0.10116766	0.13830402011762966	0.052149392043879576	0.08615462807375007
1995-05-31	0.06263636363636364	0.040207356	0.0	0.020621267038710075	0.0
1995-06-30	0.402512987012987	0.06748724	0.0	0.03364455562024901	0.0
1995-07-31	0.38084090909090906	0.08795573	0.0	0.04255575638155597	0.0
1995-08-31	0.45953030303030307	0.05787126	0.0	0.02821677049815348	0.0
1995-09-30	0.29165909090909087	0.058693077	0.0	0.029390952322438074	0.0
1995-10-31	0.03972727272727273	0.045535233	0.00580796014449813	0.023418551725451275	0.0
1995-11-30	0.11672727272727271	0.057583302	0.0	0.029683355241068507	0.0
1995-12-31	-0.4785454545454545	0.016338665	0.49488411958380174	0.008523754219296064	0.48636036536450566
1996-01-31	-0.5384545454545455	0.015963985	0.5544185301078992	0.00835375481933146	0.5460647752885678
1996-02-29	-0.5452954545454547	0.015640661	0.5609361156658694	0.008211667686613978	0.5527244479792555
1996-03-31	-0.57425	0.024213143	0.5984631426930428	0.012645518982288063	0.5858176237107547
1996-04-30	-0.11440909090909092	0.034559794	0.14896888467940417	0.01780420502674954	0.13116467965265463
1996-05-31	0.23959090909090908	0.07323021	0.0	0.037411018308762804	0.0
1996-06-30	0.4642175324675325	0.07939388	0.0	0.04011272368455146	0.0
1996-07-31	0.2912954545454545	0.09101553	0.0	0.0463971047181197	0.0
1996-08-31	0.2787272727272727	0.059725568	0.0	0.030424354466132484	0.0
1996-09-30	0.03138636363636363	0.0906804	0.05929403441060674	0.046723418687397204	0.012570615723209534
1996-10-31	0.04624999999999999	0.06483279	0.018582791686058052	0.03338557833353334	0.0
1996-11-30	-0.14643181818181816	0.062036563	0.2084683808928186	0.03210330678198135	0.17636507411083724
1996-12-31	-0.4594545454545455	0.03459749	0.4940520354373889	0.01803052335310168	0.4760215120842872
1997-01-31	-0.5374772727272727	0.015824659	0.553301931523464	0.008311914731584326	0.5449900167918796
1997-02-28	-0.5446818181818183	0.009695139	0.5543769569640811	0.005080410295807437	0.5492965466682737
1997-03-31	-0.48479545454545453	0.014897703	0.49969315773858264	0.007793295179514545	0.4918998625590681
1997-04-30	0.054318181818181814	0.079196155	0.02487797325307673	0.04077697630271097	0.0
1997-05-31	0.0275	0.04497108	0.017471078634262085	0.023160566632952646	0.0
1997-06-30	0.4454675324675325	0.07212323	0.0	0.036395421650760575	0.0
1997-07-31	0.38227272727272726	0.0645694	0.0	0.03245179894931619	0.0
1997-08-31	0.3108636363636363	0.075252734	0.0	0.03792137635977708	0.0
1997-09-30	0.2401590909090909	0.041793134	0.0	0.02076294348490699	0.0
